id	locality	countryCode	establishmentMeans	threatStatus	appendixCITES	occurrenceRemarks
urn:lsid:catalogueoflife.org:taxon:3b88d77b-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Bolívar | Cauca | Chocó | Nariño | Sucre | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:478099b8-5e17-11e7-8cee-bc764e092680:col20170824	Atlántico | Chocó | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:20e5ff88-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Chocó | Nariño | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:3b88d904-5e17-11e7-8cee-bc764e092680:col20170824	Chocó | Córdoba | Nariño | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:20e603de-5e17-11e7-8cee-bc764e092680:col20170824	La Guajira | Magdalena | Atlántico | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:4a032f6f-5e17-11e7-8cee-bc764e092680:col20170824	Amazonas | Caquetá | Putumayo | Vaupés | Guainía	CO		EN	I	Distribución en regiones naturales de Colombia y zonas de interés: Amazonía
urn:lsid:catalogueoflife.org:taxon:1855d274-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Chocó | Córdoba | Magdalena | Atlántico	CO		VU	I	Distribución en regiones naturales de Colombia y zonas de interés: Caribe
urn:lsid:catalogueoflife.org:taxon:4a02e817-5e17-11e7-8cee-bc764e092680:col20170824	La Guajira | Magdalena | Atlántico | Cauca | Chocó | Nariño | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:organismnames.com:name:271977	Sucre	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe
urn:lsid:catalogueoflife.org:taxon:47809538-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Chocó | La Guajira | Magdalena | Nariño | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:3b8608d2-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Atlántico | Bolívar | Córdoba | La Guajira | Magdalena | Sucre	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe
urn:lsid:catalogueoflife.org:taxon:4a02e9a0-5e17-11e7-8cee-bc764e092680:col20170824	Amazonas | Cauca | Chocó | Córdoba | La Guajira | Nariño | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:4a032ad3-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Chocó | Magdalena | Nariño | Valle del Cauca | Atlántico	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:4a0330fc-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Chocó | Córdoba | La Guajira | Magdalena | Nariño | San Andrés y Providencia | Sucre | Valle del Cauca | Atlántico	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:4a032328-5e17-11e7-8cee-bc764e092680:col20170824	Amazonas | Arauca | Meta | Vaupés | Vichada | Guaviare | Putumayo | Caquetá | Casanare | Guainía	CO		EN	II	Distribución en regiones naturales de Colombia y zonas de interés: Amazonia: R. Amazonía | Orinoquia: R. Orinoco
urn:lsid:catalogueoflife.org:taxon:4f136415-5e17-11e7-8cee-bc764e092680:col20170824	Bolívar | Sucre | Atlántico	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe
urn:lsid:catalogueoflife.org:taxon:4f136590-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Chocó | Nariño | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:478043fc-5e17-11e7-8cee-bc764e092680:col20170824	Atlántico | Bolívar | Cauca | Chocó | Córdoba | La Guajira | Nariño | San Andrés y Providencia | Sucre | Valle del Cauca	CO		VU	I	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:4f1381bd-5e17-11e7-8cee-bc764e092680:col20170824	Chocó | Nariño	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:4f1374e6-5e17-11e7-8cee-bc764e092680:col20170824	Bolívar	CO				Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Islas del Rosario
urn:lsid:catalogueoflife.org:taxon:4f136a05-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Chocó | Córdoba | Magdalena | San Andrés y Providencia | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:4f19a77b-5e17-11e7-8cee-bc764e092680:col20170724	Valle del Cauca | Risaralda | Caquetá | Chocó | Valle del Cauca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:3b88553d-5e17-11e7-8cee-bc764e092680:col20170724	Antioquia | Caldas | Córdoba | Santander | Valle del Cauca | Caquetá | Chocó	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina | Caribe
urn:lsid:catalogueoflife.org:taxon:4f19abee-5e17-11e7-8cee-bc764e092680:col20170724	Caquetá | Amazonas | Meta | Vaupés | Vichada	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía
urn:lsid:catalogueoflife.org:taxon:4f19b100-5e17-11e7-8cee-bc764e092680:col20170724	Amazonas | Caldas | Caquetá | Cauca | Cundinamarca | Guaviare | Magdalena | Meta | Valle del Cauca | Putumayo | Casanare | Chocó | Guainía	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina
urn:lsid:catalogueoflife.org:taxon:4f19b27e-5e17-11e7-8cee-bc764e092680:col20170724	Amazonas | Casanare | Meta | Caquetá | Guainía	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía
urn:lsid:catalogueoflife.org:taxon:4f19b408-5e17-11e7-8cee-bc764e092680:col20170724	Córdoba | Guaviare | Meta | Norte de Santander | Tolima | Valle del Cauca | Vaupés | Antioquia | Caquetá | Casanare | Guainía | Vichada	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina: Cordillera Oriental | Occidental
urn:lsid:catalogueoflife.org:taxon:4f19b609-5e17-11e7-8cee-bc764e092680:col20170724	Amazonas | Caquetá | Chocó | Putumayo | Guainía	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía | Pacífica
urn:lsid:catalogueoflife.org:taxon:4f19b9e0-5e17-11e7-8cee-bc764e092680:col20170724	Vaupés | Guainía	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía
urn:lsid:catalogueoflife.org:taxon:4f19c798-5e17-11e7-8cee-bc764e092680:col20170724	Antioquia | Boyacá | Caldas | Caquetá | Cauca | Cundinamarca | Chocó | Meta | Risaralda | Santander | Valle del Cauca | Casanare | Guainía	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina | Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:4f19c915-5e17-11e7-8cee-bc764e092680:col20170724	Amazonas | Casanare | Meta | Vichada | Arauca | Caquetá | Guainía	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía | Orinoquía | Serranía de La Macarena
urn:lsid:catalogueoflife.org:taxon:4f19ca94-5e17-11e7-8cee-bc764e092680:col20170724	Amazonas | Antioquia | Bolívar | Boyacá | Caquetá | Cauca | Córdoba | Guaviare | La Guajira | Magdalena | Meta | Santander | Sucre | Putumayo | Valle del Cauca | Vaupés | Vichada | Guainía | Arauca | Atlántico | Casanare | Chocó | Nariño | Norte de Santander | Tolima	CO				
gbif.org/species/9078143	Caquetá | Casanare | Vichada	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía
urn:lsid:catalogueoflife.org:taxon:4f19cc12-5e17-11e7-8cee-bc764e092680:col20170724	Amazonas | Antioquia | Bolívar | Boyacá | Caldas | Caquetá | Casanare | Cauca | Cesar | Chocó | Córdoba |Guainía | Magdalena | Meta | Putumayo | Sucre | Valle del Cauca | Vichada | Guaviare | Arauca | Atlántico | Guainía | Tolima | Vaupés	CO				
urn:lsid:catalogueoflife.org:taxon:3b884979-5e17-11e7-8cee-bc764e092680:col20170724	Antioquia | Chocó	CO	Endémica	EN		Distribución en regiones naturales de Colombia y zonas de interés: Andina: Cordillera Central N
urn:lsid:catalogueoflife.org:taxon:4f19d53d-5e17-11e7-8cee-bc764e092680:col20170724	Amazonas | Antioquia | Arauca | Caldas | Caquetá | Cauca | Cesar | Chocó | Córdoba | Guainía | Guaviare | La Guajira | Magdalena | Meta | Norte de Santander | Quindío | Risaralda | Valle del Cauca | Vichada | Putumayo | Vaupés | Atlántico | Casanare | Cundinamarca | Nariño | Sucre | Tolima	CO				
urn:lsid:catalogueoflife.org:taxon:4f19d6ce-5e17-11e7-8cee-bc764e092680:col20170724	Bolívar | Boyacá | Magdalena | Meta | Sucre | Tolima | Vichada | Guaviare | Antioquia | Arauca | Atlántico | Caquetá | Casanare | Cesar | Guainía | Guaviare | La Guajira	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina | Caribe | Orinoquía
urn:lsid:catalogueoflife.org:taxon:4f19d9e7-5e17-11e7-8cee-bc764e092680:col20170724	Amazonas | Antioquia | Bolívar | Caldas | Cauca | Córdoba | Meta | Risaralda | Sucre | Valle del Cauca | Caquetá | Guainía | Guaviare | Arauca | Atlántico | Casanare | Chocó | Córdoba | Cundinamarca | Putumayo | Santander | Tolima | Vichada	CO				
urn:lsid:catalogueoflife.org:taxon:4f1ae832-5e17-11e7-8cee-bc764e092680:col20170724	Amazonas | Chocó | La Guajira | Valle del Cauca | Meta | Vaupés | Guainía	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía | Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:3b87a525-5e17-11e7-8cee-bc764e092680:col20170824	Chocó | Nariño | Tolima | Valle del Cauca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina
urn:lsid:catalogueoflife.org:taxon:3b87a3b7-5e17-11e7-8cee-bc764e092680:col20170824	Cundinamarca | Tolima | Meta | Putumayo | Amazonas | Arauca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía | Andina | Orinoquía
mammaldiversity.org/explore.html#species-id=1006540	Valle del Cauca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina
urn:lsid:catalogueoflife.org:taxon:3b877b3b-5e17-11e7-8cee-bc764e092680:col20170824	Amazonas | Arauca | Boyacá | Casanare | Meta | Vichada | Caquetá | Cundinamarca | Norte de Santander | Putumayo | Guainía | Sucre	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía | Orinoquía
urn:lsid:organismnames.com:name:5379380	Norte de Santander | Putumayo	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía | Andina
