id	isMarine	isFreshwater	isTerrestrial
urn:lsid:catalogueoflife.org:taxon:4f1ae51c-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1ad73a-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4a034d75-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:organismnames.com:name:2538809	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:478030f5-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:47803272-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1d3b27-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a5465-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1239b7-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a55f8-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a57d6-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:3b883f83-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f125295-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f121aa8-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a7d3f-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f12082f-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1209b0-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a834b-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1203a0-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1206af-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4a03441a-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
