id	vernacularName	source	language	locality
urn:lsid:catalogueoflife.org:taxon:2cb68e47-5e17-11e7-8cee-bc764e092680:col20170824	White-lipped Pecary	Rodríguez-Mahecha. J. V.. Hernández-Camacho. J.. Defler. R.. Alberico. M.. Mast. R.. Mittermeier. R.. Cadena. A. (1995). Mamíferos colombianos: sus nombres comunes e indígenas. Occasional Papers in Coservation Biology 3. Conservation International. Santafé de Bogotá. 56 pp.	Inglés	
urn:lsid:catalogueoflife.org:taxon:2cb69ec5-5e17-11e7-8cee-bc764e092680:col20170824	Zorro Ojizarco		es	
urn:lsid:catalogueoflife.org:taxon:2cb69ec5-5e17-11e7-8cee-bc764e092680:col20170824	Zorro sabanero | zorro negro	Rodríguez-Mahecha. J. V.. Hernández-Camacho. J.. Defler. R.. Alberico. M.. Mast. R.. Mittermeier. R.. Cadena. A. (1995). Mamíferos colombianos: sus nombres comunes e indígenas. Occasional Papers in Coservation Biology 3. Conservation International. Santafé de Bogotá. 56 pp.	es	
urn:lsid:catalogueoflife.org:taxon:2cb69ec5-5e17-11e7-8cee-bc764e092680:col20170824	Uálaqua	Rodríguez-Mahecha. J. V.. Hernández-Camacho. J.. Defler. R.. Alberico. M.. Mast. R.. Mittermeier. R.. Cadena. A. (1995). Mamíferos colombianos: sus nombres comunes e indígenas. Occasional Papers in Coservation Biology 3. Conservation International. Santafé de Bogotá. 56 pp.	Yucuna Matapi. Familia Lingüística Arawak	
urn:lsid:catalogueoflife.org:taxon:2cb69ec5-5e17-11e7-8cee-bc764e092680:col20170824	Urúbui	Rodríguez-Mahecha. J. V.. Hernández-Camacho. J.. Defler. R.. Alberico. M.. Mast. R.. Mittermeier. R.. Cadena. A. (1995). Mamíferos colombianos: sus nombres comunes e indígenas. Occasional Papers in Coservation Biology 3. Conservation International. Santafé de Bogotá. 56 pp.	Huitoto. Familia Lingüística Huitoto	
urn:lsid:catalogueoflife.org:taxon:2cb69ec5-5e17-11e7-8cee-bc764e092680:col20170824	Búyaíro	Rodríguez-Mahecha. J. V.. Hernández-Camacho. J.. Defler. R.. Alberico. M.. Mast. R.. Mittermeier. R.. Cadena. A. (1995). Mamíferos colombianos: sus nombres comunes e indígenas. Occasional Papers in Coservation Biology 3. Conservation International. Santafé de Bogotá. 56 pp.	Yebá Masá o Barasana. Familia Lingüística Tukano Oriental	
urn:lsid:catalogueoflife.org:taxon:2cb69ec5-5e17-11e7-8cee-bc764e092680:col20170824	Wipe	Rodríguez-Mahecha. J. V.. Hernández-Camacho. J.. Defler. R.. Alberico. M.. Mast. R.. Mittermeier. R.. Cadena. A. (1995). Mamíferos colombianos: sus nombres comunes e indígenas. Occasional Papers in Coservation Biology 3. Conservation International. Santafé de Bogotá. 56 pp.	Bora. Familia Lingüística Bora	
urn:lsid:catalogueoflife.org:taxon:2cb69ec5-5e17-11e7-8cee-bc764e092680:col20170824	Juhxuutsoonna	Rodríguez-Mahecha. J. V.. Hernández-Camacho. J.. Defler. R.. Alberico. M.. Mast. R.. Mittermeier. R.. Cadena. A. (1995). Mamíferos colombianos: sus nombres comunes e indígenas. Occasional Papers in Coservation Biology 3. Conservation International. Santafé de Bogotá. 56 pp.	Okaima. Familia Lingüística Huitoto	
urn:lsid:catalogueoflife.org:taxon:2cb69ec5-5e17-11e7-8cee-bc764e092680:col20170824	Kerejuqué	Rodríguez-Mahecha. J. V.. Hernández-Camacho. J.. Defler. R.. Alberico. M.. Mast. R.. Mittermeier. R.. Cadena. A. (1995). Mamíferos colombianos: sus nombres comunes e indígenas. Occasional Papers in Coservation Biology 3. Conservation International. Santafé de Bogotá. 56 pp.	Carijona. Familia Lingüística Caribe	
urn:lsid:catalogueoflife.org:taxon:4f145f2d-5e17-11e7-8cee-bc764e092680:col20170824	Zorro perruno | Zorro perro		es	
